Equipo,Posicion,Dorsal,Nombre,Minutos jugados,Partidos jugados,Porcentaje de Partidos jugados,Partidos jugados enteros,Porcentaje de Partidos jugados enteros,Partidos jugados como titular,Porcentaje de Partidos jugados como titular,Partidos sustituido,Porcentaje de Partidos sustituido,Tarjetas amarillas,Tarjetas rojas,Segunda tarjeta amarilla,Goles marcados,Penaltis marcados,Goles en propia puerta,Goles encajados mientras el jugador estaba en el campo,Bloqueos,Intercepciones,Recuperaciones,Despejes,Entradas con éxito,Entradas fallidas,Jugadas como último hombre,Duelos con éxito,Duelos fallidos,Duelos aéreos con éxito,Duelos aéreos fallidos,Fueras de juegos cometidos,Faltas recibidas,Faltas cometidas,Penaltis recibidos,Penaltis cometidos,Faltas por manos,Faltas cometidas por cada tarjetas recibida,Tiros realizados,Tiros a puerta,Asistencias de gol,Regates realizados con éxito,Regates fallidos,Goles marcados desde dentro del área,Goles marcados desde fuera del área,Goles marcados con el pie izquierdo,Goles marcados con el pie derecho,Goles marcados de penalti,Goles marcados de cabeza,Goles marcados de jugada a balón parado,Goles marcados en propia puerta,Centros realizados,Corneres lanzados,Entradas realizadas,Duelos realizados,Duelos cuerpo a cuerpo realizados,Duelos aéreos realizados,Pases,Pases cortos,Pases largos,Pases al hueco,Goles marcados por tiros realizados
CD Leganés,Defensa,19,Muñoz,6,0,"5,0%",0,"3,0%",0,"5,0%",0,"3,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0
CD Leganés,Defensa,22,Siovas,80,1,"2,0%",1,"2,0%",1,"2,0%",0,"0,0%",0,0,0,0,0,0,1,0,2,6,4,1,1,0,2,2,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,4,4,37,28,9,0,0
CD Leganés,Defensa,24,K. Omeruo,64,1,"73,0%",1,"68,0%",1,"70,0%",0,"5,0%",0,0,0,0,0,0,1,0,1,4,4,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,2,25,20,6,0,0
CD Leganés,Centrocampista,,Óscar,66,1,"81,0%",0,"41,0%",1,"76,0%",0,"41,0%",0,0,0,0,0,0,1,0,0,4,0,1,1,0,3,4,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,2,1,9,7,2,25,22,3,0,0
CD Leganés,Centrocampista,6,Gumbau,35,1,"1,0%",0,"1,0%",0,"1,0%",0,"0,0%",0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,4,3,1,12,10,2,0,0
CD Leganés,Centrocampista,8,Recio,35,1,"1,0%",0,"1,0%",0,"1,0%",0,"1,0%",0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,2,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,1,18,16,1,0,0
CD Leganés,Centrocampista,10,El Zhar,26,1,"2,0%",0,"0,0%",0,"1,0%",1,"2,0%",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,4,3,1,7,6,1,0,0
CD Leganés,Centrocampista,11,Szymanowski,0,0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD Leganés,Centrocampista,17,Eraso,19,0,"1,0%",0,"0,0%",0,"1,0%",0,"1,0%",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,6,6,0,0,0
CD Leganés,Centrocampista,21,Rubén Pérez J.,65,1,"81,0%",1,"65,0%",1,"70,0%",0,"16,0%",0,0,0,0,0,0,1,0,1,6,1,1,1,0,3,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,6,2,35,29,6,0,0
CD Leganés,Centrocampista,23,Vesga,55,1,"68,0%",0,"38,0%",1,"59,0%",0,"30,0%",0,0,0,0,0,0,1,0,1,4,1,1,1,0,2,4,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,8,6,2,21,19,2,0,0
CD Leganés,Centrocampista,33,Javier Avilés,0,0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD Leganés,Delantero,,Youssef En-Nesyri,55,1,"81,0%",0,"35,0%",1,"59,0%",1,"46,0%",0,0,0,0,0,0,1,0,0,2,1,0,0,0,2,4,4,3,0,1,1,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,12,6,7,12,12,1,0,0
CD Leganés,Delantero,9,Carrillo,53,1,"84,0%",0,"30,0%",1,"59,0%",1,"54,0%",0,0,0,0,0,0,1,0,0,2,1,0,0,0,2,2,6,4,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,13,3,10,17,16,1,0,0
CD Leganés,Delantero,16,Jose Arnáiz,3,0,"1,0%",0,"0,0%",0,"0,0%",0,"1,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
